image_id,type,xmin,xmax,ymin,ymax
lesion_65,lesion,13,17,13,18
lesion_66,lesion,12,17,13,18
lesion_67,lesion,12,17,12,18
lesion_68,lesion,13,17,12,17
lesion_69,lesion,12,18,12,18
lesion_70,lesion,13,18,12,17
lesion_71,lesion,14,17,13,16
lesion_71,lesion,8,13,14,19
lesion_72,lesion,8,13,13,20
lesion_73,lesion,12,16,10,14
lesion_73,lesion,8,13,14,20
lesion_74,lesion,11,16,10,15
lesion_74,lesion,9,12,14,19
lesion_75,lesion,12,16,11,15
lesion_76,lesion,1,7,15,20
lesion_77,lesion,1,8,14,20
lesion_78,lesion,2,8,14,20
lesion_79,lesion,2,8,14,20
lesion_80,lesion,18,22,10,15
lesion_81,lesion,17,23,10,16
lesion_82,lesion,18,23,10,15
lesion_83,lesion,19,22,11,14
lesion_83,lesion,13,18,12,17
lesion_84,lesion,13,18,11,18
lesion_85,lesion,17,21,8,12
lesion_85,lesion,13,18,12,18
lesion_86,lesion,16,21,8,13
lesion_86,lesion,14,17,12,17
lesion_87,lesion,17,21,9,13
lesion_88,lesion,6,12,13,18
lesion_89,lesion,6,13,12,18
lesion_90,lesion,7,13,12,18
lesion_91,lesion,7,13,12,18
lesion_92,lesion,8,13,13,17
lesion_93,lesion,14,18,15,20
lesion_94,lesion,13,19,15,21
lesion_95,lesion,14,19,15,20
lesion_96,lesion,15,18,16,19
lesion_96,lesion,9,14,17,22
lesion_97,lesion,9,14,16,23
lesion_98,lesion,13,17,13,17
lesion_98,lesion,9,14,17,23
lesion_99,lesion,12,17,13,18
lesion_99,lesion,10,13,17,22
lesion_100,lesion,13,17,14,18
lesion_101,lesion,2,8,18,23
lesion_102,lesion,2,9,17,23
lesion_103,lesion,3,9,17,23
lesion_104,lesion,3,9,17,23
lesion_105,lesion,4,9,18,22
lesion_106,lesion,12,17,13,17
lesion_107,lesion,12,18,12,18
lesion_108,lesion,11,18,12,19
lesion_109,lesion,11,18,12,19
lesion_110,lesion,11,18,12,18
lesion_111,lesion,12,18,13,18
lesion_112,lesion,13,17,14,17
lesion_113,lesion,7,10,16,19
lesion_114,lesion,6,12,15,20
lesion_115,lesion,6,13,14,20
lesion_116,lesion,6,13,14,20
lesion_117,lesion,7,12,15,19
lesion_118,lesion,18,23,11,15
lesion_119,lesion,18,24,10,16
lesion_120,lesion,17,24,10,17
lesion_121,lesion,17,24,10,17
lesion_122,lesion,17,24,10,16
lesion_123,lesion,18,24,11,16
lesion_124,lesion,19,23,12,15
lesion_125,lesion,13,16,14,17
lesion_126,lesion,12,18,13,18
lesion_127,lesion,12,19,12,18
lesion_128,lesion,12,19,12,18
lesion_129,lesion,13,18,13,17
lesion_130,lesion,1,3,14,17
lesion_130,lesion,-1,1,15,18
lesion_131,lesion,-1,4,14,19
lesion_132,lesion,-1,3,13,20
lesion_133,lesion,-1,3,13,20
lesion_134,lesion,-1,3,13,19
lesion_135,lesion,23,27,10,15
lesion_136,lesion,22,28,10,16
lesion_137,lesion,23,28,10,15
lesion_138,lesion,24,27,11,14
lesion_138,lesion,18,23,12,17
lesion_139,lesion,18,23,11,18
lesion_140,lesion,22,26,8,12
lesion_140,lesion,18,23,12,18
lesion_141,lesion,21,26,8,13
lesion_141,lesion,19,22,12,17
lesion_142,lesion,22,26,9,13
lesion_143,lesion,11,17,13,18
lesion_144,lesion,11,18,12,18
lesion_145,lesion,12,18,12,18
lesion_146,lesion,12,18,12,18
lesion_147,lesion,13,18,13,17
lesion_148,lesion,27,30,12,17
lesion_149,lesion,27,30,12,17
lesion_150,lesion,27,30,12,17
lesion_151,lesion,16,18,13,16
lesion_151,lesion,13,16,14,17
lesion_152,lesion,12,19,13,18
lesion_153,lesion,9,18,12,19
lesion_153,lesion,3,5,16,18
lesion_154,lesion,8,18,12,19
lesion_154,lesion,2,6,15,20
lesion_155,lesion,7,18,12,19
lesion_155,lesion,1,6,14,20
lesion_156,lesion,7,17,13,18
lesion_156,lesion,2,6,15,20
lesion_157,lesion,7,16,13,18
lesion_157,lesion,2,5,16,19
lesion_158,lesion,27,29,11,14
lesion_158,lesion,24,27,12,15
lesion_159,lesion,23,30,11,16
lesion_160,lesion,20,29,10,17
lesion_160,lesion,14,16,14,16
lesion_161,lesion,19,29,10,17
lesion_161,lesion,13,17,13,18
lesion_162,lesion,18,29,10,17
lesion_162,lesion,12,17,12,18
lesion_163,lesion,18,28,11,16
lesion_163,lesion,13,17,13,18
lesion_164,lesion,18,27,11,16
lesion_164,lesion,13,16,14,17
lesion_165,lesion,25,30,3,8
lesion_166,lesion,25,30,2,8
lesion_167,lesion,25,30,2,8
lesion_168,lesion,26,30,3,7
lesion_169,lesion,14,16,4,7
lesion_169,lesion,11,14,5,8
lesion_170,lesion,10,17,4,9
lesion_171,lesion,7,16,3,10
lesion_171,lesion,1,3,7,9
lesion_172,lesion,6,16,3,10
lesion_172,lesion,0,4,6,11
lesion_173,lesion,5,16,3,10
lesion_173,lesion,-1,4,5,11
lesion_174,lesion,5,15,4,9
lesion_174,lesion,0,4,6,11
lesion_175,lesion,5,14,4,9
lesion_175,lesion,0,3,7,10
lesion_176,lesion,20,22,13,16
lesion_176,lesion,17,20,14,17
lesion_177,lesion,16,23,13,18
lesion_178,lesion,13,22,12,19
lesion_178,lesion,7,9,16,18
lesion_179,lesion,12,22,12,19
lesion_179,lesion,6,10,15,20
lesion_180,lesion,11,22,12,19
lesion_180,lesion,5,10,14,20
lesion_181,lesion,11,21,13,18
lesion_181,lesion,6,10,15,20
lesion_182,lesion,11,20,13,18
lesion_182,lesion,6,9,16,19
lesion_183,lesion,13,17,13,17
lesion_184,lesion,13,17,12,17
lesion_185,lesion,12,17,12,17
lesion_186,lesion,13,17,13,17
lesion_187,lesion,12,16,12,18
lesion_188,lesion,12,18,11,18
lesion_189,lesion,12,18,12,18
lesion_190,lesion,8,11,24,27
lesion_191,lesion,7,12,23,28
lesion_192,lesion,7,12,23,27
lesion_193,lesion,7,11,23,27
lesion_194,lesion,11,14,15,19
lesion_194,lesion,7,13,20,24
lesion_195,lesion,10,15,14,20
lesion_195,lesion,6,14,20,25
lesion_196,lesion,9,15,14,20
lesion_196,lesion,6,13,20,24
lesion_197,lesion,10,15,15,19
lesion_197,lesion,7,9,21,23
lesion_198,lesion,7,12,16,21
lesion_199,lesion,7,12,16,21
lesion_200,lesion,18,22,2,8
lesion_201,lesion,18,24,1,8
lesion_202,lesion,18,24,2,8
lesion_203,lesion,14,17,14,17
lesion_204,lesion,13,18,13,18
lesion_205,lesion,13,18,13,17
lesion_206,lesion,13,17,13,17
lesion_207,lesion,17,20,5,9
lesion_207,lesion,13,19,10,14
lesion_208,lesion,16,21,4,10
lesion_208,lesion,12,20,10,15
lesion_209,lesion,15,21,4,10
lesion_209,lesion,12,19,10,14
lesion_210,lesion,16,21,5,9
lesion_210,lesion,13,15,11,13
lesion_210,lesion,-1,1,19,22
lesion_211,lesion,13,18,6,11
lesion_211,lesion,-1,1,19,22
lesion_212,lesion,13,18,6,11
lesion_213,lesion,13,18,6,11
lesion_214,lesion,14,17,7,10
lesion_215,lesion,17,21,5,11
lesion_216,lesion,17,23,4,11
lesion_217,lesion,17,23,5,11
lesion_218,lesion,13,16,17,20
lesion_219,lesion,12,17,16,21
lesion_220,lesion,12,17,16,20
lesion_221,lesion,12,16,16,20
lesion_222,lesion,16,19,8,12
lesion_222,lesion,12,18,13,17
lesion_223,lesion,15,20,7,13
lesion_223,lesion,11,19,13,18
lesion_224,lesion,14,20,7,13
lesion_224,lesion,11,18,13,17
lesion_225,lesion,15,20,8,12
lesion_225,lesion,12,14,14,16
lesion_226,lesion,12,17,9,14
lesion_227,lesion,12,17,9,14
lesion_228,lesion,12,17,9,14
lesion_229,lesion,13,16,10,13
lesion_230,lesion,15,19,10,16
lesion_231,lesion,15,21,9,16
lesion_232,lesion,15,21,10,16
lesion_233,lesion,11,14,22,25
lesion_234,lesion,10,15,21,26
lesion_235,lesion,10,15,21,25
lesion_236,lesion,10,14,21,25
lesion_237,lesion,14,17,13,17
lesion_237,lesion,10,16,18,22
lesion_238,lesion,13,18,12,18
lesion_238,lesion,9,17,18,23
lesion_239,lesion,12,18,12,18
lesion_239,lesion,9,16,18,22
lesion_240,lesion,13,18,13,17
lesion_240,lesion,10,12,19,21
lesion_241,lesion,10,15,14,19
lesion_242,lesion,10,15,14,19
lesion_243,lesion,10,15,14,19
lesion_244,lesion,11,14,15,18
lesion_245,lesion,28,30,6,9
lesion_245,lesion,13,16,14,17
lesion_246,lesion,12,17,13,18
lesion_247,lesion,12,17,13,18
lesion_248,lesion,13,17,13,17
lesion_249,lesion,17,21,9,15
lesion_250,lesion,17,23,8,15
lesion_251,lesion,17,23,9,15
lesion_252,lesion,13,16,21,24
lesion_253,lesion,12,17,20,25
lesion_254,lesion,12,17,20,24
lesion_255,lesion,12,16,20,24
lesion_256,lesion,16,19,12,16
lesion_256,lesion,12,18,17,21
lesion_257,lesion,15,20,11,17
lesion_257,lesion,11,19,17,22
lesion_258,lesion,14,20,11,17
lesion_258,lesion,11,18,17,21
lesion_259,lesion,15,20,12,16
lesion_259,lesion,12,14,18,20
lesion_260,lesion,12,17,13,18
lesion_261,lesion,12,17,13,18
lesion_262,lesion,12,17,13,18
lesion_263,lesion,13,16,14,17
lesion_264,lesion,13,16,13,17
lesion_265,lesion,12,17,13,17
lesion_266,lesion,12,17,13,18
lesion_267,lesion,13,16,13,17
lesion_268,lesion,13,17,12,17
lesion_269,lesion,12,18,12,17
lesion_270,lesion,13,17,12,17
lesion_271,lesion,13,17,12,17
lesion_272,lesion,13,18,12,17
lesion_273,lesion,13,18,12,17
lesion_274,lesion,14,17,13,16
lesion_275,lesion,13,17,13,17
lesion_276,lesion,13,17,13,18
lesion_277,lesion,13,17,13,17
lesion_278,lesion,13,16,13,17
lesion_279,lesion,13,17,13,17
lesion_280,lesion,12,18,13,18
lesion_281,lesion,12,18,13,17
lesion_282,lesion,13,17,13,17
lesion_283,lesion,13,17,14,17
lesion_284,lesion,12,17,13,18
lesion_285,lesion,13,17,13,17
lesion_286,lesion,13,17,13,18
lesion_287,lesion,13,17,13,18
lesion_288,lesion,13,17,13,18
lesion_289,lesion,13,17,11,16
lesion_290,lesion,13,18,11,18
lesion_291,lesion,13,18,11,19
lesion_292,lesion,12,18,11,19
lesion_293,lesion,13,17,14,19
lesion_294,lesion,13,17,13,17
lesion_295,lesion,12,17,12,18
lesion_296,lesion,12,18,12,18
lesion_297,lesion,13,17,13,17
lesion_298,lesion,13,17,12,17
lesion_299,lesion,12,17,12,17
lesion_300,lesion,12,17,12,17
lesion_301,lesion,12,17,12,17
lesion_302,lesion,13,16,13,16
lesion_303,lesion,12,17,13,17
lesion_304,lesion,12,17,13,17
lesion_305,lesion,12,17,13,17
lesion_306,lesion,12,17,13,18
lesion_307,lesion,12,18,13,18
lesion_308,lesion,12,18,13,18
lesion_309,lesion,12,17,13,18
lesion_310,lesion,14,17,13,16
lesion_311,lesion,13,18,12,17
lesion_312,lesion,13,18,12,17
lesion_313,lesion,13,18,13,17
lesion_314,lesion,13,17,13,16
lesion_315,lesion,13,18,12,17
lesion_316,lesion,13,18,13,18
lesion_317,lesion,12,16,12,16
lesion_317,lesion,15,17,15,17
lesion_318,lesion,12,18,11,18
lesion_319,lesion,11,19,10,19
lesion_320,lesion,10,19,10,19
lesion_321,lesion,10,19,10,20
lesion_322,lesion,10,18,10,20
lesion_323,lesion,8,12,3,7
lesion_323,lesion,10,17,10,19
lesion_324,lesion,7,13,2,7
lesion_324,lesion,13,16,8,11
lesion_324,lesion,9,16,10,18
lesion_325,lesion,7,13,2,8
lesion_325,lesion,1,3,7,9
lesion_325,lesion,10,17,7,17
lesion_325,lesion,0,4,10,14
lesion_326,lesion,8,12,2,7
lesion_326,lesion,0,8,6,14
lesion_326,lesion,12,17,7,13
lesion_326,lesion,11,14,13,16
lesion_327,lesion,0,8,6,14
lesion_327,lesion,12,17,8,13
lesion_328,lesion,11,15,3,8
lesion_328,lesion,0,8,6,11
lesion_328,lesion,13,15,9,11
lesion_329,lesion,10,16,3,8
lesion_329,lesion,5,7,8,10
lesion_330,lesion,11,18,2,8
lesion_331,lesion,13,18,0,7
lesion_332,lesion,13,19,-1,7
lesion_333,lesion,11,18,-1,7
lesion_334,lesion,10,16,-1,4
lesion_335,lesion,10,16,-1,4
lesion_336,lesion,13,17,13,17
lesion_337,lesion,12,18,12,18
lesion_338,lesion,12,17,12,17
lesion_339,lesion,13,17,13,17
lesion_340,lesion,15,19,14,18
lesion_340,lesion,18,20,17,19
lesion_341,lesion,15,21,13,20
lesion_342,lesion,14,22,12,21
lesion_343,lesion,13,22,12,21
lesion_344,lesion,13,22,12,22
lesion_345,lesion,13,21,12,22
lesion_346,lesion,11,15,5,9
lesion_346,lesion,13,20,12,21
lesion_347,lesion,10,16,4,9
lesion_347,lesion,16,19,10,13
lesion_347,lesion,12,19,12,20
lesion_347,lesion,-1,2,15,19
lesion_348,lesion,10,16,4,10
lesion_348,lesion,4,6,9,11
lesion_348,lesion,13,20,9,19
lesion_348,lesion,3,7,12,16
lesion_348,lesion,-1,2,15,20
lesion_349,lesion,11,15,4,9
lesion_349,lesion,3,11,8,16
lesion_349,lesion,15,20,9,15
lesion_349,lesion,-1,2,15,19
lesion_349,lesion,14,17,15,18
lesion_350,lesion,3,11,8,16
lesion_350,lesion,15,20,10,15
lesion_350,lesion,-1,1,16,18
lesion_351,lesion,14,18,5,10
lesion_351,lesion,3,11,8,13
lesion_351,lesion,16,18,11,13
lesion_352,lesion,13,19,5,10
lesion_352,lesion,8,10,10,12
lesion_353,lesion,14,21,4,10
lesion_354,lesion,16,21,2,9
lesion_355,lesion,16,22,1,9
lesion_356,lesion,14,21,1,9
lesion_357,lesion,13,19,1,6
lesion_358,lesion,13,19,0,6
lesion_359,lesion,14,19,0,5
lesion_360,lesion,17,21,22,26
lesion_360,lesion,20,22,25,27
lesion_361,lesion,17,23,21,28
lesion_362,lesion,16,24,20,29
lesion_363,lesion,15,24,20,29
lesion_364,lesion,15,24,20,30
lesion_365,lesion,15,23,20,30
lesion_366,lesion,13,17,13,17
lesion_366,lesion,15,22,20,29
lesion_367,lesion,12,18,12,17
lesion_367,lesion,18,21,18,21
lesion_367,lesion,14,21,20,28
lesion_367,lesion,0,4,23,27
lesion_368,lesion,12,18,12,18
lesion_368,lesion,6,8,17,19
lesion_368,lesion,15,22,17,27
lesion_368,lesion,5,9,20,24
lesion_368,lesion,0,4,23,28
lesion_369,lesion,13,17,12,17
lesion_369,lesion,5,13,16,24
lesion_369,lesion,17,22,17,23
lesion_369,lesion,0,4,23,27
lesion_369,lesion,16,19,23,26
lesion_370,lesion,5,13,16,24
lesion_370,lesion,17,22,18,23
lesion_370,lesion,1,3,24,26
lesion_371,lesion,16,20,13,18
lesion_371,lesion,5,13,16,21
lesion_371,lesion,18,20,19,21
lesion_372,lesion,15,21,13,18
lesion_372,lesion,10,12,18,20
lesion_373,lesion,16,23,12,18
lesion_374,lesion,18,23,10,17
lesion_375,lesion,18,24,9,17
lesion_376,lesion,16,23,9,17
lesion_377,lesion,15,21,9,14
lesion_378,lesion,15,21,8,14
lesion_379,lesion,16,21,8,13
lesion_380,lesion,26,30,3,7
lesion_380,lesion,28,30,11,16
lesion_381,lesion,25,30,2,7
lesion_381,lesion,27,30,11,16
lesion_381,lesion,13,17,13,17
lesion_382,lesion,25,30,2,8
lesion_382,lesion,19,21,7,9
lesion_382,lesion,18,22,10,14
lesion_382,lesion,28,30,12,16
lesion_382,lesion,13,17,13,18
lesion_383,lesion,26,30,2,7
lesion_383,lesion,18,26,6,14
lesion_383,lesion,13,17,13,17
lesion_384,lesion,18,26,6,14
lesion_384,lesion,14,16,14,16
lesion_385,lesion,18,26,6,11
lesion_386,lesion,13,17,17,21
lesion_386,lesion,16,18,20,22
lesion_387,lesion,13,19,16,23
lesion_388,lesion,12,20,15,24
lesion_389,lesion,11,20,15,24
lesion_390,lesion,11,20,15,25
lesion_391,lesion,11,19,15,25
lesion_392,lesion,9,13,8,12
lesion_392,lesion,11,18,15,24
lesion_393,lesion,8,14,7,12
lesion_393,lesion,14,17,13,16
lesion_393,lesion,10,17,15,23
lesion_394,lesion,8,14,7,13
lesion_394,lesion,2,4,12,14
lesion_394,lesion,11,18,12,22
lesion_394,lesion,1,5,15,19
lesion_395,lesion,9,13,7,12
lesion_395,lesion,1,9,11,19
lesion_395,lesion,13,18,12,18
lesion_395,lesion,12,15,18,21
lesion_396,lesion,1,9,11,19
lesion_396,lesion,13,18,13,18
lesion_397,lesion,12,16,8,13
lesion_397,lesion,1,9,11,16
lesion_397,lesion,14,16,14,16
lesion_398,lesion,11,17,8,13
lesion_398,lesion,6,8,13,15
lesion_399,lesion,12,19,7,13
lesion_400,lesion,14,19,5,12
lesion_401,lesion,14,20,4,12
lesion_402,lesion,12,19,4,12
lesion_403,lesion,11,17,4,9
lesion_404,lesion,11,17,3,9
lesion_405,lesion,12,17,3,8
lesion_406,lesion,11,16,-1,4
lesion_407,lesion,24,28,19,23
lesion_407,lesion,27,29,22,24
lesion_408,lesion,24,30,18,25
lesion_409,lesion,23,30,17,26
lesion_410,lesion,22,30,17,26
lesion_411,lesion,22,30,17,27
lesion_412,lesion,22,30,17,27
lesion_413,lesion,20,24,10,14
lesion_413,lesion,22,29,17,26
lesion_414,lesion,19,25,9,14
lesion_414,lesion,25,28,15,18
lesion_414,lesion,21,28,17,25
lesion_414,lesion,7,11,20,24
lesion_415,lesion,19,25,9,15
lesion_415,lesion,13,15,14,16
lesion_415,lesion,22,29,14,24
lesion_415,lesion,12,16,17,21
lesion_415,lesion,7,11,20,25
lesion_416,lesion,20,24,9,14
lesion_416,lesion,12,20,13,21
lesion_416,lesion,24,29,14,20
lesion_416,lesion,7,11,20,24
lesion_416,lesion,23,26,20,23
lesion_417,lesion,12,20,13,21
lesion_417,lesion,24,29,15,20
lesion_417,lesion,8,10,21,23
lesion_418,lesion,23,27,10,15
lesion_418,lesion,12,20,13,18
lesion_418,lesion,25,27,16,18
lesion_419,lesion,22,28,10,15
lesion_419,lesion,17,19,15,17
lesion_420,lesion,23,30,9,15
lesion_421,lesion,25,30,7,14
lesion_422,lesion,25,30,6,14
lesion_423,lesion,23,30,6,14
lesion_424,lesion,22,28,6,11
lesion_425,lesion,22,28,5,11
lesion_426,lesion,23,28,5,10
lesion_427,lesion,22,27,1,6
lesion_428,lesion,22,27,1,6
lesion_429,lesion,25,29,15,19
lesion_429,lesion,28,30,18,20
lesion_430,lesion,25,30,14,21
lesion_431,lesion,24,30,13,22
lesion_432,lesion,23,30,13,22
lesion_433,lesion,23,30,13,23
lesion_434,lesion,23,30,13,23
lesion_435,lesion,21,25,6,10
lesion_435,lesion,23,30,13,22
lesion_436,lesion,20,26,5,10
lesion_436,lesion,26,29,11,14
lesion_436,lesion,22,29,13,21
lesion_436,lesion,8,12,16,20
lesion_437,lesion,20,26,5,11
lesion_437,lesion,14,16,10,12
lesion_437,lesion,23,30,10,20
lesion_437,lesion,13,17,13,17
lesion_437,lesion,8,12,16,21
lesion_438,lesion,21,25,5,10
lesion_438,lesion,13,21,9,17
lesion_438,lesion,25,30,10,16
lesion_438,lesion,8,12,16,20
lesion_438,lesion,24,27,16,19
lesion_439,lesion,13,21,9,17
lesion_439,lesion,25,30,11,16
lesion_439,lesion,9,11,17,19
lesion_440,lesion,24,28,6,11
lesion_440,lesion,13,21,9,14
lesion_440,lesion,26,28,12,14
lesion_441,lesion,23,29,6,11
lesion_441,lesion,18,20,11,13
lesion_442,lesion,24,30,5,11
lesion_443,lesion,26,30,3,10
lesion_444,lesion,26,30,2,10
lesion_445,lesion,24,30,2,10
lesion_446,lesion,23,29,2,7
lesion_447,lesion,23,29,1,7
lesion_448,lesion,24,29,1,6
lesion_449,lesion,23,28,-1,2
lesion_450,lesion,21,25,18,22
lesion_450,lesion,24,26,21,23
lesion_451,lesion,21,27,17,24
lesion_452,lesion,20,28,16,25
lesion_453,lesion,19,28,16,25
lesion_454,lesion,19,28,16,26
lesion_455,lesion,19,27,16,26
lesion_456,lesion,17,21,9,13
lesion_456,lesion,19,26,16,25
lesion_457,lesion,16,22,8,13
lesion_457,lesion,22,25,14,17
lesion_457,lesion,18,25,16,24
lesion_457,lesion,4,8,19,23
lesion_458,lesion,16,22,8,14
lesion_458,lesion,10,12,13,15
lesion_458,lesion,19,26,13,23
lesion_458,lesion,9,13,16,20
lesion_458,lesion,4,8,19,24
lesion_459,lesion,17,21,8,13
lesion_459,lesion,9,17,12,20
lesion_459,lesion,21,26,13,19
lesion_459,lesion,4,8,19,23
lesion_459,lesion,20,23,19,22
lesion_460,lesion,9,17,12,20
lesion_460,lesion,21,26,14,19
lesion_460,lesion,5,7,20,22
lesion_461,lesion,20,24,9,14
lesion_461,lesion,9,17,12,17
lesion_461,lesion,22,24,15,17
lesion_462,lesion,19,25,9,14
lesion_462,lesion,14,16,14,16
lesion_463,lesion,20,27,8,14
lesion_464,lesion,22,27,6,13
lesion_465,lesion,22,28,5,13
lesion_466,lesion,20,27,5,13
lesion_467,lesion,19,25,5,10
lesion_468,lesion,19,25,4,10
lesion_469,lesion,20,25,4,9
lesion_470,lesion,19,24,0,5
lesion_471,lesion,19,24,0,5
lesion_472,lesion,12,17,13,18
lesion_473,lesion,-1,1,13,15
lesion_473,lesion,12,17,13,18
lesion_473,lesion,18,22,16,21
lesion_474,lesion,-1,3,11,16
lesion_474,lesion,10,17,13,20
lesion_474,lesion,18,23,16,21
lesion_475,lesion,-1,3,11,16
lesion_475,lesion,10,15,15,20
lesion_475,lesion,18,22,16,21
lesion_476,lesion,-1,2,11,16
lesion_476,lesion,10,16,16,20
lesion_476,lesion,19,22,17,20
lesion_477,lesion,13,18,17,22
lesion_478,lesion,13,18,17,22
lesion_479,lesion,13,18,17,22
lesion_480,lesion,13,17,13,17
lesion_481,lesion,13,18,12,17
lesion_482,lesion,13,17,13,17
lesion_483,lesion,7,12,10,15
lesion_484,lesion,7,12,10,15
lesion_484,lesion,13,17,13,18
lesion_485,lesion,5,12,10,17
lesion_485,lesion,13,18,13,18
lesion_486,lesion,5,10,12,17
lesion_486,lesion,13,17,13,18
lesion_487,lesion,5,11,13,17
lesion_487,lesion,14,17,14,17
lesion_488,lesion,8,13,14,19
lesion_489,lesion,8,13,14,19
lesion_490,lesion,8,13,14,19
lesion_491,lesion,27,30,15,20
lesion_492,lesion,14,16,15,17
lesion_492,lesion,27,30,15,20
lesion_493,lesion,13,18,13,18
lesion_493,lesion,25,30,15,22
lesion_494,lesion,13,18,13,18
lesion_494,lesion,25,30,17,22
lesion_495,lesion,13,17,13,18
lesion_495,lesion,25,30,18,22
lesion_496,lesion,15,20,10,15
lesion_497,lesion,2,4,10,12
lesion_497,lesion,15,20,10,15
lesion_497,lesion,21,25,13,18
lesion_498,lesion,1,6,8,13
lesion_498,lesion,13,20,10,17
lesion_498,lesion,21,26,13,18
lesion_499,lesion,1,6,8,13
lesion_499,lesion,13,18,12,17
lesion_499,lesion,21,25,13,18
lesion_500,lesion,1,5,8,13
lesion_500,lesion,13,19,13,17
lesion_500,lesion,22,25,14,17
lesion_501,lesion,16,21,14,19
lesion_502,lesion,16,21,14,19
lesion_503,lesion,16,21,14,19
lesion_504,lesion,14,18,21,25
lesion_504,lesion,17,19,24,26
lesion_505,lesion,14,20,20,27
lesion_506,lesion,13,21,19,28
lesion_507,lesion,12,21,19,28
lesion_508,lesion,12,21,19,29
lesion_509,lesion,12,20,19,29
lesion_510,lesion,10,14,12,16
lesion_510,lesion,12,19,19,28
lesion_511,lesion,9,15,11,16
lesion_511,lesion,15,18,17,20
lesion_511,lesion,11,18,19,27
lesion_511,lesion,-1,1,23,25
lesion_512,lesion,9,15,11,17
lesion_512,lesion,3,5,16,18
lesion_512,lesion,12,19,16,26
lesion_512,lesion,2,6,19,23
lesion_512,lesion,-1,1,22,26
lesion_513,lesion,10,14,11,16
lesion_513,lesion,2,10,15,23
lesion_513,lesion,14,19,16,22
lesion_513,lesion,-1,1,22,26
lesion_513,lesion,13,16,22,25
lesion_514,lesion,2,10,15,23
lesion_514,lesion,14,19,17,22
lesion_515,lesion,13,17,12,17
lesion_515,lesion,2,10,15,20
lesion_515,lesion,15,17,18,20
lesion_516,lesion,12,18,12,17
lesion_516,lesion,7,9,17,19
lesion_517,lesion,13,20,11,17
lesion_518,lesion,15,20,9,16
lesion_519,lesion,15,21,8,16
lesion_520,lesion,13,20,8,16
lesion_521,lesion,12,18,8,13
lesion_522,lesion,12,18,7,13
lesion_523,lesion,13,18,7,12
lesion_524,lesion,12,17,3,8
lesion_525,lesion,12,17,3,8
lesion_526,lesion,12,16,4,7
lesion_527,lesion,13,17,13,18
lesion_528,lesion,12,18,12,19
lesion_529,lesion,12,19,12,18
lesion_530,lesion,13,18,13,18
lesion_531,lesion,13,17,13,17
lesion_532,lesion,12,17,9,14
